,username,talking_about_count,time
166223,DunkinDonuts,27228,2015-10-01 04:00:00+00
166994,burgerking,175909,2015-10-02 04:00:00+00
167086,DunkinDonuts,45694,2015-10-02 04:00:00+00
167482,Dominos,37012,2015-10-02 04:00:00+00
167720,chipotle,18281,2015-10-02 04:00:00+00
168077,DunkinDonuts,45819,2015-10-03 04:00:00+00
168104,Dominos,35041,2015-10-03 04:00:00+00
168257,chipotle,19031,2015-10-03 04:00:00+00
168498,burgerking,182270,2015-10-03 04:00:00+00
169322,chipotle,19031,2015-10-04 04:00:00+00
169380,Dominos,35041,2015-10-04 04:00:00+00
169531,DunkinDonuts,45819,2015-10-04 04:00:00+00
169883,burgerking,182270,2015-10-04 04:00:00+00
169969,chipotle,15719,2015-10-05 04:00:00+00
169984,burgerking,178792,2015-10-05 04:00:00+00
170334,Dominos,33522,2015-10-05 04:00:00+00
170839,DunkinDonuts,45776,2015-10-05 04:00:00+00
171084,burgerking,159163,2015-10-06 04:00:00+00
171148,Dominos,31736,2015-10-06 04:00:00+00
171392,chipotle,13107,2015-10-06 04:00:00+00
171640,DunkinDonuts,39536,2015-10-06 04:00:00+00
172472,DunkinDonuts,29748,2015-10-07 04:00:00+00
172681,burgerking,159163,2015-10-07 04:00:00+00
172902,chipotle,13107,2015-10-07 04:00:00+00
173061,Dominos,29443,2015-10-07 04:00:00+00
173362,burgerking,142813,2015-10-08 04:00:00+00
173671,chipotle,25281,2015-10-08 04:00:00+00
173917,DunkinDonuts,28090,2015-10-08 04:00:00+00
174232,Dominos,27555,2015-10-08 04:00:00+00
174457,DunkinDonuts,4061,2015-10-09 04:00:00+00
174988,Dominos,27555,2015-10-09 04:00:00+00
175121,burgerking,80364,2015-10-09 04:00:00+00
175341,chipotle,26295,2015-10-09 04:00:00+00
175427,DunkinDonuts,3700,2015-10-10 04:00:00+00
175591,chipotle,25950,2015-10-10 04:00:00+00
175995,burgerking,79174,2015-10-10 04:00:00+00
176445,Dominos,24611,2015-10-10 04:00:00+00
176555,burgerking,97013,2015-10-11 04:00:00+00
176620,DunkinDonuts,3727,2015-10-11 04:00:00+00
176814,Dominos,24611,2015-10-11 04:00:00+00
177436,chipotle,25189,2015-10-11 04:00:00+00
177838,DunkinDonuts,3694,2015-10-12 04:00:00+00
177843,burgerking,110155,2015-10-12 04:00:00+00
178230,Dominos,24611,2015-10-12 04:00:00+00
178553,chipotle,28027,2015-10-12 04:00:00+00
179415,chipotle,26935,2015-10-13 04:00:00+00
179670,Dominos,23997,2015-10-13 04:00:00+00
179694,DunkinDonuts,3743,2015-10-13 04:00:00+00
179705,burgerking,122250,2015-10-13 04:00:00+00
179953,chipotle,15109,2015-10-14 04:00:00+00
180525,DunkinDonuts,3719,2015-10-14 04:00:00+00
180590,Dominos,23899,2015-10-14 04:00:00+00
180826,burgerking,132998,2015-10-14 04:00:00+00
181204,chipotle,15109,2015-10-15 04:00:00+00
181584,DunkinDonuts,3594,2015-10-15 04:00:00+00
181830,Dominos,23921,2015-10-15 04:00:00+00
